epoch,train_loss,valid_loss
1,3.529863753656844e-07,2.211737802694803e-07
2,2.1158183248475759e-07,1.8963487851291077e-07
3,1.9063084246253096e-07,1.7914469595688644e-07
4,1.8131310870081097e-07,1.645635695907743e-07
5,1.6838235644237055e-07,1.5896796363488798e-07
6,1.5951662606945382e-07,1.4741354076092956e-07
7,1.5216287897230834e-07,1.4261363209024233e-07
8,1.4627941181046208e-07,1.4033968530142204e-07
9,1.406230214084829e-07,1.393564358138372e-07
10,1.3955215875904912e-07,1.3509348169176022e-07
