epoch,train_loss,valid_loss
1,3.628387976172389e-05,3.641249228773328e-05
2,3.602959932112153e-05,3.600925284162854e-05
3,3.6026228719710506e-05,3.605611404389325e-05
4,3.60192012051471e-05,3.628385898134612e-05
5,3.601229303454869e-05,3.596311915149356e-05
6,3.5997811382175485e-05,3.6008982230365895e-05
7,3.60303192125147e-05,3.6001784029321734e-05
8,3.6003216014057804e-05,3.6252785457168366e-05
9,3.5995967060359665e-05,3.6285769150207015e-05
10,3.599730895833979e-05,3.592864609293e-05
11,3.601036702676471e-05,3.599561957877274e-05
12,3.5978775640509564e-05,3.611057887275987e-05
13,3.603460492010446e-05,3.6092316313233926e-05
14,3.59989520957137e-05,3.6148460665195856e-05
15,3.6011680358183445e-05,3.639859690223205e-05
16,3.600944114711206e-05,3.635236320949572e-05
17,3.601623656845995e-05,3.593921311461934e-05
18,3.6011034932985816e-05,3.645836517242206e-05
19,3.599286368885909e-05,3.614578121017274e-05
20,3.598311362121952e-05,3.610530773417933e-05
21,3.599568463591805e-05,3.642838408728264e-05
22,3.598594774014962e-05,3.603944800300363e-05
23,3.60039376752785e-05,3.592242777311436e-05
24,3.59885305225014e-05,3.6425899630014375e-05
25,3.5999706512789914e-05,3.601883665772942e-05
26,3.600168846678852e-05,3.610937175375741e-05
27,3.5979821376815354e-05,3.594785827991818e-05
28,3.601289377862437e-05,3.62582246118276e-05
29,3.598961428200653e-05,3.630158543033424e-05
30,3.59809157693319e-05,3.650380628756863e-05
31,3.6007060897642204e-05,3.6429320511390757e-05
32,3.601709217121119e-05,3.59875163782305e-05
33,3.597915358998737e-05,3.5987008043869945e-05
34,3.5986849270627514e-05,3.622433148681095e-05
35,3.600262279877224e-05,3.6165877802353676e-05
36,3.602475566838052e-05,3.6033518996588814e-05
37,3.598624276758925e-05,3.642208532422872e-05
38,3.598273082578539e-05,3.620142861213883e-05
39,3.601913015921349e-05,3.640058590442105e-05
40,3.601545256295765e-05,3.601060570977045e-05
41,3.599185442715356e-05,3.600080923917275e-05
42,3.600954085441925e-05,3.631924453489857e-05
43,3.599288599079288e-05,3.607800397145476e-05
44,3.600756552322762e-05,3.6003035305860056e-05
45,3.5984381625388794e-05,3.596699140359107e-05
46,3.59851929578709e-05,3.62924576160597e-05
47,3.598532721895363e-05,3.6278532457674435e-05
48,3.599830308169914e-05,3.6032049064979425e-05
49,3.598769043032197e-05,3.601499357218613e-05
50,3.600347078143274e-05,3.6222823858214275e-05
51,3.60015215692434e-05,3.6393126030251836e-05
52,3.599249011829979e-05,3.616862352504248e-05
53,3.598727852403425e-05,3.596107159666289e-05
54,3.59997933256394e-05,3.5962822813030206e-05
55,3.601297234281341e-05,3.622707836988955e-05
56,3.602599262331368e-05,3.5975758472541826e-05
57,3.597483024898171e-05,3.599230224389085e-05
58,3.600841171147965e-05,3.6240702391442865e-05
59,3.59695422501381e-05,3.611365985401288e-05
60,3.5986760631765503e-05,3.604449208152759e-05
61,3.59971855620316e-05,3.596413268402604e-05
62,3.6019633882327326e-05,3.605581285479149e-05
63,3.599484416448986e-05,3.606780636142377e-05
64,3.5995744444851484e-05,3.606584898247009e-05
65,3.5976121987802295e-05,3.614131655295155e-05
66,3.6021295213106835e-05,3.617479505292381e-05
67,3.60111054662313e-05,3.6269650353324845e-05
68,3.602000103375028e-05,3.6538811609611963e-05
69,3.602132208358351e-05,3.621999152444956e-05
70,3.601019560281546e-05,3.6356543498040154e-05
71,3.5978211599285714e-05,3.598611958253989e-05
72,3.598865715647026e-05,3.622787245284986e-05
73,3.599915856154569e-05,3.60109455889859e-05
74,3.6011243698891285e-05,3.614350502719118e-05
75,3.5979082944371886e-05,3.6388379408765166e-05
76,3.600727363512492e-05,3.602684297095101e-05
77,3.6012941592060114e-05,3.612975516084223e-05
78,3.599898895307428e-05,3.628994768248582e-05
79,3.5981419769859185e-05,3.6230590127558375e-05
80,3.6000046024703994e-05,3.629781332719354e-05
81,3.598080050580259e-05,3.625856338292307e-05
82,3.598660287130615e-05,3.603590952500771e-05
83,3.599639888071863e-05,3.639895595401397e-05
84,3.5980479949303185e-05,3.627124627608533e-05
85,3.6004122590651094e-05,3.593229415981051e-05
86,3.599501474917566e-05,3.6027575532344424e-05
87,3.605099864286986e-05,3.6048375812075474e-05
88,3.5979604537827576e-05,3.653505529195402e-05
89,3.600746306987851e-05,3.633183888300194e-05
90,3.6006583026651894e-05,3.651957845197584e-05
91,3.6001032808897603e-05,3.594531428733581e-05
92,3.597819055800288e-05,3.6172814466174285e-05
93,3.602147734732188e-05,3.624306866666971e-05
94,3.600981323930352e-05,3.5983459739149654e-05
95,3.601046929751257e-05,3.614564978296135e-05
96,3.5993998158839083e-05,3.606294020933458e-05
97,3.5986290447585624e-05,3.6226092833067536e-05
98,3.599629149011257e-05,3.606598114145882e-05
99,3.600730757086545e-05,3.59659119065578e-05
100,3.601572418232128e-05,3.606980471990885e-05
