seed,pretrain,frozen,labeled_percentage,F1_score
0,True,True,0.01,0.7591538162643083
0,True,False,0.01,0.008512682949649809
0,False,True,0.01,0.008512682949649809
0,False,False,0.01,0.00843054235935421
0,True,True,0.05,0.9936566268396734
0,True,False,0.05,0.4045663310507758
0,False,True,0.05,0.3796881146393695
0,False,False,0.05,0.008512682949649809
0,True,True,0.1,0.9994569314734727
0,True,False,0.1,0.4515750581131546
0,False,True,0.1,0.7014108938314436
0,False,False,0.1,0.008512682949649809
0,True,True,0.15,0.9992756518748095
0,True,False,0.15,0.5801012284963549
0,False,True,0.15,0.9815655338723923
0,False,False,0.15,0.008557059012456751
0,True,True,0.2,0.9996378418675418
0,True,False,0.2,0.5444634676849825
0,False,True,0.2,0.996920210025668
0,False,False,0.2,0.01314853238065872
0,True,True,0.25,0.9998188644663784
0,True,False,0.25,0.6223879798383747
0,False,True,0.25,0.9956517244577365
0,False,False,0.25,0.15450366682691272
0,True,True,0.3,0.9992738248735056
0,True,False,0.3,0.5880712163780906
0,False,True,0.3,0.99819084815212
0,False,False,0.3,0.008557059012456751
0,True,True,0.4,1.0
0,True,False,0.4,0.6224494458877827
0,False,True,0.4,0.9990948594215244
0,False,False,0.4,0.06109792865279298
0,True,True,0.5,0.9998187204013368
0,True,False,0.5,0.6515159841484714
0,False,True,0.5,0.9996378418675418
0,False,False,0.5,0.09257909295760756
0,True,True,1.0,1.0
0,True,False,1.0,0.7234577770669318
0,False,True,1.0,1.0
0,False,False,1.0,0.024595930696010553
1,True,True,0.01,0.7621276945288896
1,True,False,0.01,0.14822778423595473
1,False,True,0.01,0.008557059012456751
1,False,False,0.01,0.008512682949649809
1,True,True,0.05,0.9947442113113657
1,True,False,0.05,0.40479120766411364
1,False,True,0.05,0.24532049291745878
1,False,False,0.05,0.008601543002780114
1,True,True,0.1,0.9992761325566182
1,True,False,0.1,0.4510227910342674
1,False,True,0.1,0.8439388043241449
1,False,False,0.1,0.008512682949649809
1,True,True,0.15,0.9992761325566182
1,True,False,0.15,0.6325406899288049
1,False,True,0.15,0.991486448694723
1,False,False,0.15,0.008557059012456751
1,True,True,0.2,1.0
1,True,False,0.2,0.5333724660757972
1,False,True,0.2,0.9941955825331649
1,False,False,0.2,0.008557059012456751
1,True,True,0.25,0.9994569314734727
1,True,False,0.25,0.5708275931539837
1,False,True,0.25,0.997278788232312
1,False,False,0.25,0.09162861929105327
1,True,True,0.3,0.9998188644663784
1,True,False,0.3,0.5755579317608146
1,False,True,0.3,0.9981918936385953
1,False,False,0.3,0.19806001126953537
1,True,True,0.4,1.0
1,True,False,0.4,0.6096758655760309
1,False,True,0.4,0.9992753762347293
1,False,False,0.4,0.009276576210008313
1,True,True,0.5,1.0
1,True,False,0.5,0.6202802701605076
1,False,True,0.5,0.9989142518213184
1,False,False,0.5,0.037475930722079845
1,True,True,1.0,1.0
1,True,False,1.0,0.7043673315626299
1,False,True,1.0,0.9998188644663784
1,False,False,1.0,0.016542212799621838
2,True,True,0.01,0.5370998873699206
2,True,False,0.01,0.04607387506382408
2,False,True,0.01,0.008557059012456751
2,False,False,0.01,0.008557059012456751
2,True,True,0.05,0.9952909343736076
2,True,False,0.05,0.47133636754041874
2,False,True,0.05,0.18188420520718465
2,False,False,0.05,0.13185447647044812
2,True,True,0.1,0.9987307563469783
2,True,False,0.1,0.4524239386305262
2,False,True,0.1,0.875273582259491
2,False,False,0.1,0.01314853238065872
2,True,True,0.15,0.9990926893398839
2,True,False,0.15,0.5350076143572338
2,False,True,0.15,0.9802726024327283
2,False,False,0.15,0.01314853238065872
2,True,True,0.2,0.9994556339029149
2,True,False,0.2,0.5101695591716253
2,False,True,0.2,0.9871546804279403
2,False,False,0.2,0.06869447918061271
2,True,True,0.25,0.9994569314734727
2,True,False,0.25,0.6050714032812649
2,False,True,0.25,0.9978252441067095
2,False,False,0.25,0.008605255453387127
2,True,True,0.3,0.9996378418675418
2,True,False,0.3,0.623076145128028
2,False,True,0.3,0.997464513964729
2,False,False,0.3,0.013333897961460929
2,True,True,0.4,1.0
2,True,False,0.4,0.6286713188442675
2,False,True,0.4,0.9992757389029172
2,False,False,0.4,0.06952101061355584
2,True,True,0.5,1.0
2,True,False,0.5,0.6390303073108495
2,False,True,0.5,0.9992761325566182
2,False,False,0.5,0.03513765421961941
2,True,True,1.0,1.0
2,True,False,1.0,0.7134610294654022
2,False,True,1.0,1.0
2,False,False,1.0,0.1981204872314827
3,True,True,0.01,0.7239289328734657
3,True,False,0.01,0.022770911484794192
3,False,True,0.01,0.22021853404954492
3,False,False,0.01,0.008557059012456751
3,True,True,0.05,0.9947603762660148
3,True,False,0.05,0.3980646820466524
3,False,True,0.05,0.2877815540844363
3,False,False,0.05,0.008557059012456751
3,True,True,0.1,0.9989141647932107
3,True,False,0.1,0.5207548229529798
3,False,True,0.1,0.8838771335675472
3,False,False,0.1,0.008512682949649809
3,True,True,0.15,0.9990934757704569
3,True,False,0.15,0.5187582009654312
3,False,True,0.15,0.969869177466349
3,False,False,0.15,0.008512682949649809
3,True,True,0.2,0.9994569314734727
3,True,False,0.2,0.4972208658489247
3,False,True,0.2,0.9961995612135031
3,False,False,0.2,0.008557059012456751
3,True,True,0.25,1.0
3,True,False,0.25,0.6237356620520407
3,False,True,0.25,0.9970994967538322
3,False,False,0.25,0.008557059012456751
3,True,True,0.3,1.0
3,True,False,0.3,0.5731899617523063
3,False,True,0.3,0.9976447761874296
3,False,False,0.3,0.01679233999998405
3,True,True,0.4,1.0
3,True,False,0.4,0.6216186910553052
4,True,True,0.01,0.7046748533885008
4,True,False,0.01,0.06629017496146165
4,False,True,0.01,0.008512682949649809
4,False,False,0.01,0.008557059012456751
4,True,True,0.05,0.996010189061694
4,True,False,0.05,0.37141443758079623
4,False,True,0.05,0.33466299351237816
4,False,False,0.05,0.008557059012456751
4,True,True,0.1,0.999095444391874
4,True,False,0.1,0.4893271099584508
4,False,True,0.1,0.9352263619617576
4,False,False,0.1,0.011406909840645298
4,True,True,0.15,0.9996375848677151
4,True,False,0.15,0.47553197746197073
4,False,True,0.15,0.9849808078654652
4,False,False,0.15,0.06869447918061271
4,True,True,0.2,1.0
4,True,False,0.2,0.6024822890952412
4,False,True,0.2,0.9943880273994429
4,False,False,0.2,0.008512682949649809
5,True,True,0.01,0.7588457106119849
5,True,False,0.01,0.030097669977480757
5,False,True,0.01,0.23136638047487035
5,False,False,0.01,0.024075472993358108
5,True,True,0.05,0.9965716450727968
5,True,False,0.05,0.12700707463999553
5,False,True,0.05,0.32942931134261577
5,False,False,0.05,0.017895065560816978
5,True,True,0.1,0.9994569314734727
5,True,False,0.1,0.45900090001100874
5,False,True,0.1,0.7962468341654227
5,False,False,0.1,0.09257909295760756
5,True,True,0.15,0.9994569314734727
5,True,False,0.15,0.5542226339404509
5,False,True,0.15,0.9553559535173811
5,False,False,0.15,0.008234976481746875
5,True,True,0.2,1.0
5,True,False,0.2,0.5372178486759367
5,False,True,0.2,0.9893368963364654
5,False,False,0.2,0.1727082866805686
6,True,True,0.01,0.7610097433767213
6,True,False,0.01,0.01314853238065872
6,False,True,0.01,0.16285892592483897
6,False,False,0.01,0.008557059012456751
6,True,True,0.05,0.9981904317244067
6,True,False,0.05,0.15054706816101251
6,False,True,0.05,0.22583890068687668
6,False,False,0.05,0.008512682949649809
6,True,True,0.1,0.9990948529579549
6,True,False,0.1,0.488044491796654
6,False,True,0.1,0.8359186094140244
6,False,False,0.1,0.0136341220368493
6,True,True,0.15,0.9994569314734727
6,True,False,0.15,0.4740905673264361
6,False,True,0.15,0.9918487257837362
6,False,False,0.15,0.008512682949649809
6,True,True,0.2,0.999095444391874
6,True,False,0.2,0.5507431416562046
6,False,True,0.2,0.9976446248535386
6,False,False,0.2,0.021504627183037674
7,True,True,0.01,0.721446507580574
7,True,False,0.01,0.1783906682650387
7,False,True,0.01,0.09259262791271831
7,False,False,0.01,0.09257909295760756
7,True,True,0.05,0.9961951252542663
7,True,False,0.05,0.4601340656604176
7,False,True,0.05,0.28117840212301487
7,False,False,0.05,0.008512682949649809
7,True,True,0.1,0.9983692692653796
7,True,False,0.1,0.5642182880339492
7,False,True,0.1,0.7450427230440083
7,False,False,0.1,0.012233767675848635
7,True,True,0.15,0.9994569314734727
7,True,False,0.15,0.48727724168681974
7,False,True,0.15,0.9818791566390119
7,False,False,0.15,0.09271462083486945
7,True,True,0.2,1.0
7,True,False,0.2,0.5170620579513584
7,False,True,0.2,0.9952920645454171
7,False,False,0.2,0.01314853238065872
8,True,True,0.01,0.7744168657289952
8,True,False,0.01,0.027688024178321325
8,False,True,0.01,0.008512682949649809
8,False,False,0.01,0.06869447918061271
8,True,True,0.05,0.9953035578834293
8,True,False,0.05,0.37369875058359525
8,False,True,0.05,0.3750766578935892
8,False,False,0.05,0.06869447918061271
8,True,True,0.1,0.9983691407234216
8,True,False,0.1,0.45454916096475595
8,False,True,0.1,0.8664679104575228
8,False,False,0.1,0.0948162552403081
8,True,True,0.15,0.9985499574301238
8,True,False,0.15,0.49360215917153266
8,False,True,0.15,0.9673048643917739
8,False,False,0.15,0.009093058070061113
8,True,True,0.2,0.9994569314734727
8,True,False,0.2,0.5720820534732711
8,False,True,0.2,0.9911382219730271
8,False,False,0.2,0.008512682949649809
9,True,True,0.01,0.6979253434161411
9,True,False,0.01,0.0639175187653109
9,False,True,0.01,0.008512682949649809
9,False,False,0.01,0.01314853238065872
9,True,True,0.05,0.9893373721525534
9,True,False,0.05,0.2302986718817945
9,False,True,0.05,0.33746972766179456
9,False,False,0.05,0.01314853238065872
9,True,True,0.1,0.999095444391874
9,True,False,0.1,0.3966700401581178
9,False,True,0.1,0.7212625592934452
9,False,False,0.1,0.008512682949649809
9,True,True,0.15,0.9992756518748095
9,True,False,0.15,0.5756251238207885
9,False,True,0.15,0.9612682223111383
9,False,False,0.15,0.15466239468264398
9,True,True,0.2,0.9990926893398839
9,True,False,0.2,0.5756232250410609
9,False,True,0.2,0.9958277420803489
9,False,False,0.2,0.008557059012456751
10,True,True,0.01,0.483118611330538
10,True,False,0.01,0.01190116870956896
10,False,True,0.01,0.13266591189005414
10,False,False,0.01,0.09257909295760756
10,True,True,0.05,0.9969208885277095
10,True,False,0.05,0.3293440271145082
10,False,True,0.05,0.28935931040032153
10,False,False,0.05,0.10563418073294241
10,True,True,0.1,0.9987307563469783
10,True,False,0.1,0.50442759203131
10,False,True,0.1,0.7681007048616718
10,False,False,0.1,0.008601543002780114
10,True,True,0.15,0.9992756518748095
10,True,False,0.15,0.5350751510089877
10,False,True,0.15,0.9578482394792637
10,False,False,0.15,0.009556721009096509
10,True,True,0.2,0.9996375848677151
10,True,False,0.2,0.5377709561431907
10,False,True,0.2,0.9981900884857957
10,False,False,0.2,0.022791477322637803
11,True,True,0.01,0.7161008108521039
11,True,False,0.01,0.22887358461283802
11,False,True,0.01,0.06870482473470617
11,False,False,0.01,0.008512682949649809
11,True,True,0.05,0.9961912670228048
11,True,False,0.05,0.3568058298832843
11,False,True,0.05,0.40555005632447116
11,False,False,0.05,0.008557059012456751
11,True,True,0.1,0.9981884525586775
11,True,False,0.1,0.3438691962964044
11,False,True,0.1,0.9217088471276563
11,False,False,0.1,0.008557059012456751
11,True,True,0.15,0.9996378418675418
11,True,False,0.15,0.5201356715458134
11,False,True,0.15,0.9819304136484999
11,False,False,0.15,0.049320857111086476
11,True,True,0.2,0.9989116667410471
11,True,False,0.2,0.5634059579237158
11,False,True,0.2,0.9889214377537008
11,False,False,0.2,0.008512682949649809
12,True,True,0.01,0.7962398282895609
12,True,False,0.01,0.008558511577218668
12,False,True,0.01,0.008557059012456751
12,False,False,0.01,0.008601543002780114
12,True,True,0.05,0.9969204822063846
12,True,False,0.05,0.4584084665895096
12,False,True,0.05,0.41966587773625963
12,False,False,0.05,0.008512682949649809
12,True,True,0.1,0.9987307563469783
12,True,False,0.1,0.5641707854945515
12,False,True,0.1,0.6498105041310417
12,False,False,0.1,0.008512682949649809
12,True,True,0.15,0.998549567384207
12,True,False,0.15,0.5178133567063447
12,False,True,0.15,0.9885902027942844
12,False,False,0.15,0.06869447918061271
12,True,True,0.2,0.9994569314734727
12,True,False,0.2,0.5613788759523213
12,False,True,0.2,0.9960109746324896
12,False,False,0.2,0.01314853238065872
13,True,True,0.01,0.8205839885226859
13,True,False,0.01,0.0225313042691826
13,False,True,0.01,0.08121938284136278
13,False,False,0.01,0.009260981580126875
13,True,True,0.05,0.9972778421041798
13,True,False,0.05,0.1517523216980775
13,False,True,0.05,0.28744616271297574
13,False,False,0.05,0.008512682949649809
13,True,True,0.1,0.9983692692653796
13,True,False,0.1,0.49375806768323943
13,False,True,0.1,0.935809059977039
13,False,False,0.1,0.01314853238065872
13,True,True,0.15,0.9996378418675418
13,True,False,0.15,0.4647890395327293
13,False,True,0.15,0.9790439635187269
13,False,False,0.15,0.022508199946074323
13,True,True,0.2,0.9990926893398839
13,True,False,0.2,0.5029916133875483
13,False,True,0.2,0.9949282987711645
13,False,False,0.2,0.008512682949649809
14,True,True,0.01,0.6251910448980175
14,True,False,0.01,0.016232953474207223
14,False,True,0.01,0.022379871735506814
14,False,False,0.01,0.008514128226890837
14,True,True,0.05,0.9965587527327237
14,True,False,0.05,0.2779147016860374
14,False,True,0.05,0.2730523019968395
14,False,False,0.05,0.008604463234660197
14,True,True,0.1,0.9989116667410471
14,True,False,0.1,0.44005305248583343
14,False,True,0.1,0.7259166366569364
14,False,False,0.1,0.01314853238065872
14,True,True,0.15,0.9990941968631911
14,True,False,0.15,0.5669238846882311
14,False,True,0.15,0.9866587319608358
14,False,False,0.15,0.008512682949649809
14,True,True,0.2,0.9990934757704569
14,True,False,0.2,0.6125662787575891
14,False,True,0.2,0.9945774578471047
14,False,False,0.2,0.2439099811496307
0,True,True,0.025,0.9740307871284669
0,True,False,0.025,0.008504116253256158
0,False,True,0.025,0.011774449253011484
0,False,False,0.025,0.008512682949649809
0,True,True,0.075,0.99800454410067
0,True,False,0.075,0.5660385986149705
0,False,True,0.075,0.5967890900952729
0,False,False,0.075,0.012312608587998385
1,True,True,0.025,0.8156972151892886
1,True,False,0.025,0.24311851339888252
1,False,True,0.025,0.01314853238065872
1,False,False,0.025,0.07353651293617783
1,True,True,0.075,0.9976447105138367
1,True,False,0.075,0.2700378064542294
1,False,True,0.075,0.5075156339630317
1,False,False,0.075,0.008512682949649809
2,True,True,0.025,0.9054809416130001
2,True,False,0.025,0.3038717113130588
2,False,True,0.025,0.03648524532805168
2,False,False,0.025,0.09257909295760756
2,True,True,0.075,0.9985505742145614
2,True,False,0.075,0.2805339447272301
2,False,True,0.075,0.5855312543114449
2,False,False,0.075,0.008512682949649809
3,True,True,0.025,0.9275928059355579
3,True,False,0.025,0.1419597102416566
3,False,True,0.025,0.21305141124580557
3,False,False,0.025,0.012066061883425459
3,True,True,0.075,0.9987332681539082
3,True,False,0.075,0.5082443263980628
3,False,True,0.075,0.6285353969014728
3,False,False,0.075,0.01314853238065872
4,True,True,0.025,0.8986120590052359
4,True,False,0.025,0.20923128819895967
4,False,True,0.025,0.051311808008829375
4,False,False,0.025,0.06869447918061271
4,True,True,0.075,0.9987312131000807
4,True,False,0.075,0.44031190248632934
4,False,True,0.075,0.616182207291769
4,False,False,0.075,0.07980441919738812
5,True,True,0.025,0.9678731448030055
5,True,False,0.025,0.06821985971128847
5,False,True,0.025,0.0707468779977621
5,False,False,0.025,0.008557059012456751
5,True,True,0.075,0.9992757647697151
5,True,False,0.075,0.11297198911893525
5,False,True,0.075,0.5251250128884033
5,False,False,0.075,0.01314853238065872
6,True,True,0.025,0.8731594359516791
6,True,False,0.025,0.01192647087869275
6,False,True,0.025,0.03854097349656331
6,False,False,0.025,0.09257909295760756
6,True,True,0.075,0.9978212181484098
6,True,False,0.075,0.37951032657064004
6,False,True,0.075,0.6086688449587024
6,False,False,0.075,0.008512682949649809
7,True,True,0.025,0.9245712402655096
7,True,False,0.025,0.09554454963931058
7,False,True,0.025,0.06869447918061271
7,False,False,0.025,0.008557059012456751
7,True,True,0.075,0.9990949399860625
7,True,False,0.075,0.48018451969244774
7,False,True,0.075,0.3881395968909348
7,False,False,0.075,0.03062849541931708
8,True,True,0.025,0.9112562047817844
8,True,False,0.025,0.07814130538539339
8,False,True,0.025,0.03428325597257742
8,False,False,0.025,0.008557059012456751
8,True,True,0.075,0.9980059079978348
8,True,False,0.075,0.452619600781984
8,False,True,0.075,0.6496527624229188
8,False,False,0.075,0.01938480131522037
9,True,True,0.025,0.9499459424594504
9,True,False,0.025,0.13876003744582113
