epoch,train_loss,valid_loss
1,6.15008706664479e-06,4.891428000146268e-06
2,4.540453039909769e-06,4.617775297931416e-06
3,4.6522380343941064e-06,4.862545966003224e-06
4,4.773013154669796e-06,4.627974494527892e-06
5,4.6047229477858895e-06,4.880087975271904e-06
6,4.7505157821109e-06,4.593632853985262e-06
7,4.619014867865378e-06,4.7317425688567884e-06
8,4.641826732007363e-06,5.018734896602444e-06
9,4.649729754390464e-06,4.606023003688926e-06
10,4.398431914120963e-06,4.638351182614138e-06
11,4.5427667246711795e-06,4.889889663795559e-06
12,4.5186053133995585e-06,4.670071782437053e-06
13,4.450025150555963e-06,4.6847086431619395e-06
14,4.352848632627257e-06,4.722644711456013e-06
15,4.296283782488816e-06,4.7662443851569685e-06
16,4.512259192474112e-06,4.51118452893235e-06
17,4.422570423217274e-06,4.918757648535555e-06
18,4.451460286107429e-06,4.6804729261160865e-06
19,4.427856287832148e-06,4.7267247544159345e-06
20,4.4471472825998776e-06,4.5679462319842985e-06
21,4.306219678130162e-06,4.479871257107785e-06
22,4.429697220212372e-06,4.836342300844493e-06
23,4.456775265016744e-06,4.60007020252214e-06
24,4.445544381463884e-06,4.680846606736346e-06
25,4.3287874802845254e-06,4.599050437803749e-06
26,4.345527484549579e-06,4.5121928405606274e-06
27,4.3482458674213165e-06,4.570795999498193e-06
28,4.470085767937122e-06,4.758636036673359e-06
29,4.307919008376511e-06,4.712295745291727e-06
30,4.405722702689976e-06,4.574273865361758e-06
31,4.367128888851394e-06,4.7685428549327865e-06
32,4.469371391676834e-06,4.484833920836824e-06
33,4.328276754101544e-06,4.563994287754402e-06
34,4.27455225504474e-06,4.777293267036728e-06
35,4.355654438606205e-06,4.4035703938776e-06
36,4.375777686425964e-06,4.471257360812893e-06
37,4.350093723471658e-06,4.508578375135984e-06
38,4.427628692669021e-06,4.859501663461434e-06
39,4.399528581611562e-06,4.69945172239899e-06
40,4.34503195207291e-06,4.455424269842212e-06
41,4.385605544909524e-06,4.714192498455213e-06
42,4.347466970229126e-06,4.700400674775939e-06
43,4.386565496947273e-06,4.691687029813209e-06
44,4.383916434488587e-06,4.585341675200319e-06
45,4.334624067921288e-06,4.35828713686775e-06
46,4.358654253844222e-06,4.579311968731901e-06
47,4.336418613455725e-06,4.4647669553649514e-06
48,4.267089250209551e-06,4.615870337068981e-06
49,4.420906000825097e-06,4.575950245996066e-06
50,4.397842477842333e-06,4.407076567927335e-06
51,4.328946839801053e-06,4.628303891262241e-06
52,4.278934523157422e-06,4.590837001840738e-06
53,4.391845721474198e-06,4.845652699959632e-06
54,4.350102066755749e-06,4.681857514677556e-06
55,4.311092281606931e-06,4.517229017634079e-06
56,4.328140282808345e-06,4.665017326483034e-06
57,4.345096605548623e-06,4.644958359330035e-06
58,4.333573693100609e-06,4.6710577113352875e-06
59,4.3272539832734626e-06,4.49833977320935e-06
60,4.344975041946145e-06,4.551721558396925e-06
61,4.446114312874355e-06,4.33125495475134e-06
62,4.487557400085839e-06,4.6262698475834275e-06
63,4.374064257703739e-06,4.571146669248186e-06
64,4.365211984451614e-06,4.672122053071695e-06
65,4.2712343555887625e-06,4.65829568168001e-06
66,4.342142350501573e-06,4.467769486581732e-06
67,4.386113920183861e-06,4.6080140197622796e-06
68,4.331814990203009e-06,4.532146259217704e-06
69,4.271702374760705e-06,4.453857562491309e-06
70,4.282656116181161e-06,4.352533812098634e-06
71,4.246951959721837e-06,4.54940962548227e-06
72,4.407772841523575e-06,4.56891951432599e-06
73,4.282030300114461e-06,4.5459506457014904e-06
74,4.262749333332417e-06,4.408908811089643e-06
75,4.1728950587118244e-06,4.223944692999768e-06
76,4.01013830479338e-06,4.35226193207095e-06
77,4.138409231009439e-06,4.2966749768690776e-06
78,4.1437110950574745e-06,3.909251339425393e-06
79,3.972656505623491e-06,4.3328670138265374e-06
80,4.157155397466866e-06,4.331221286435243e-06
81,4.008585051778518e-06,3.975606397826144e-06
82,4.100832195623491e-06,4.0665583177503175e-06
83,4.085456904290424e-06,3.90895257499605e-06
84,3.9720929711958896e-06,3.80890771810287e-06
85,3.8461503060724345e-06,3.8841309020858556e-06
86,3.885488873119943e-06,4.124012671029128e-06
87,3.8273734906027564e-06,3.7699031414088907e-06
88,3.7867313447119963e-06,3.6471302867297538e-06
89,3.885057847623196e-06,3.932863779587122e-06
90,3.7528486611086727e-06,4.009040417618674e-06
91,3.787982335054313e-06,3.83377329801484e-06
92,3.7532018415325374e-06,4.006702416884653e-06
93,3.852321688911305e-06,3.826858248836327e-06
94,3.840135506306055e-06,3.7877656487587224e-06
95,3.8107713319009397e-06,3.919915485416921e-06
96,3.860277721842739e-06,3.886299514339017e-06
97,3.6807132058679586e-06,3.929842906675751e-06
98,3.786481464748679e-06,3.881986180099277e-06
99,3.7563423485377285e-06,3.6975791176995462e-06
100,3.895859072973357e-06,3.836045783723323e-06
