epoch,train_loss,valid_loss
1,3.8051245923451847e-07,2.786756490848007e-07
2,2.411735445010815e-07,2.2225862227819136e-07
3,2.1416645903142094e-07,2.0749294046202017e-07
4,2.0906844845440156e-07,2.0254861842757158e-07
5,2.033085293462009e-07,1.85344018606995e-07
6,1.877835114668561e-07,1.7268683995026426e-07
7,1.6996618805558436e-07,1.6586400633707152e-07
8,1.5768857725283952e-07,1.521636346401563e-07
9,1.4641474579928422e-07,1.259885125658676e-07
10,1.2139017086375688e-07,1.0708009677800088e-07
11,1.1034797497956133e-07,9.53238625913773e-08
12,1.0333654995977991e-07,9.012070719802605e-08
13,9.8066640306132e-08,8.561787777423286e-08
14,9.407875259650578e-08,8.897449327201461e-08
15,9.121098729099918e-08,7.741077981153067e-08
16,8.659176299955273e-08,7.209852856576356e-08
17,8.309239329960819e-08,6.902639646756902e-08
18,7.979707327039994e-08,6.709130123211992e-08
19,7.821933442148923e-08,6.621363066599986e-08
20,7.610281261164584e-08,6.51880563048331e-08
21,7.397082906487274e-08,6.262924726935197e-08
22,7.194379372929493e-08,6.402383830960297e-08
23,6.991126807155409e-08,5.6777379730768276e-08
24,6.924084588952528e-08,5.9503769053865674e-08
25,6.739076373536171e-08,5.634883531482753e-08
26,6.66483438861035e-08,5.69382058751766e-08
27,6.562310006955268e-08,5.478192152825633e-08
28,6.401739556656059e-08,5.319729778604086e-08
29,6.290096084517711e-08,5.263605122282773e-08
30,6.217162740823916e-08,5.6428255467456195e-08
31,6.176637110970839e-08,5.143682062598666e-08
32,6.214870321496151e-08,5.110849974535216e-08
33,6.272919376736015e-08,4.944156460610986e-08
34,6.021140320029408e-08,4.806820699558158e-08
35,5.8448088628277097e-08,5.199960187971994e-08
36,5.8823997263699184e-08,5.032020355507785e-08
37,5.8457899813272455e-08,4.774476090840168e-08
38,5.7923848426585824e-08,5.124874562772557e-08
39,5.7437990776106694e-08,4.657631147271374e-08
40,5.658776844572745e-08,4.8198594511553594e-08
41,5.561874206193098e-08,4.7990441927016316e-08
42,5.58022817769435e-08,5.0625941649551686e-08
43,5.5425884386219064e-08,4.422669701480052e-08
44,5.5041143384404435e-08,4.8356201437305284e-08
45,5.4115795309260865e-08,4.547842328595592e-08
46,5.416539579746034e-08,4.4670168921479576e-08
47,5.3371586881555704e-08,4.485410244728392e-08
48,5.330980391674568e-08,4.697960497873832e-08
49,5.3239211039511065e-08,4.4698850720222176e-08
50,5.2579893434631406e-08,4.384278556061473e-08
51,5.276558622357059e-08,4.327270675694701e-08
52,5.192208449659825e-08,4.488846433487982e-08
53,5.1753956596586666e-08,4.328598178087285e-08
54,5.1262606879946994e-08,4.450103758552477e-08
55,5.1331823307146375e-08,4.289371491663816e-08
56,5.103075603589455e-08,4.242556871314074e-08
57,5.033759986531659e-08,4.416736311809178e-08
58,5.030974026808381e-08,4.3900716283663075e-08
59,4.997393136742273e-08,4.1751061269796535e-08
60,4.9751105492487895e-08,4.259377305152811e-08
61,4.9768658827431993e-08,4.218327098210106e-08
62,4.9402791693676506e-08,4.233015683011015e-08
63,4.89607911115951e-08,4.12297660607188e-08
64,4.89648156583504e-08,4.227590547114939e-08
65,4.864688027967637e-08,4.1906755148689015e-08
66,4.890156768113156e-08,4.2595321646193877e-08
67,4.851714572186152e-08,4.088354481943412e-08
68,4.8466646202945335e-08,4.0553677797806615e-08
69,4.8580656879204694e-08,4.1293889199492015e-08
70,4.8267008409911464e-08,4.104097066413638e-08
71,4.7791648752447335e-08,4.124358171054201e-08
72,4.80656199703765e-08,4.099737053503376e-08
73,4.7675604684090466e-08,4.08677183029978e-08
74,4.764206052697192e-08,4.1418589265592455e-08
75,4.78169863112801e-08,4.016305047770788e-08
76,4.718835477859866e-08,4.012793155027748e-08
77,4.7300267480352704e-08,4.0823036922100454e-08
78,4.75557412611854e-08,4.153858351450214e-08
79,4.7273623939884116e-08,4.036158957238487e-08
80,4.7065345293184334e-08,3.981083196947157e-08
81,4.6930929355551767e-08,4.1106028652229855e-08
82,4.666352499674896e-08,3.947660149979194e-08
83,4.6350506655556276e-08,3.965351474068334e-08
84,4.657892683850571e-08,3.972106778681389e-08
85,4.6739507480290364e-08,3.976547419278432e-08
86,4.6691399417960575e-08,3.994191763713192e-08
87,4.642711730520102e-08,3.9704841648874615e-08
88,4.652578897835553e-08,3.941824301979303e-08
89,4.677300231497931e-08,3.9836926942816e-08
90,4.6370691192244546e-08,4.006042872264934e-08
91,4.661609872844596e-08,3.943776460382258e-08
92,4.666590953184524e-08,3.9820547368540344e-08
93,4.6244931368256106e-08,3.9959425737297414e-08
94,4.6761359987097756e-08,3.981970641309757e-08
95,4.605567036041025e-08,3.9701200234925663e-08
96,4.626827559243419e-08,3.950831996393809e-08
97,4.6584176598012115e-08,3.963992842747378e-08
98,4.6719165166327306e-08,3.9805031650653194e-08
99,4.616183980586231e-08,3.966212075250977e-08
100,4.647301692168319e-08,3.961436786405573e-08
