,speed,fault,position,diameter,pearsonr
0,1797.0,OR,3,7,0.23964162
1,1797.0,OR,3,7,0.21491086
2,1797.0,OR,3,7,0.19110903
3,1797.0,OR,3,7,0.19078268
4,1797.0,B,,14,0.16900991
5,1797.0,B,,14,0.1823699
6,1797.0,B,,14,0.16674417
7,1797.0,B,,14,0.027199795
8,1797.0,B,,14,0.221163
9,1797.0,B,3,14,0.18716249
10,1797.0,OR,3,14,0.14571197
11,1797.0,OR,3,14,0.14095886
12,1797.0,OR,3,14,0.15223348
13,1797.0,OR,,14,0.17400682
14,1797.0,OR,3,14,0.1484783
15,1797.0,B,,21,0.24405646
16,1797.0,B,,21,0.21021378
17,1797.0,B,,21,0.17132427
18,1797.0,B,,21,0.2004212
19,1797.0,B,6,21,0.18280318
20,1797.0,OR,6,21,0.13295063
21,1797.0,OR,6,21,0.09319792
22,1797.0,OR,6,21,0.103994325
23,1797.0,OR,,21,0.09170042
24,1797.0,OR,6,21,0.099988416
25,1797.0,B,,7,0.40737805
26,1797.0,B,,7,0.373423
27,1797.0,B,,7,0.40076372
28,1797.0,B,,7,0.4156207
29,1797.0,IR,,21,0.15829632
30,1797.0,IR,,21,0.16396418
31,1797.0,IR,,21,0.1137824
32,1797.0,IR,,21,0.18449765
33,1797.0,Normal,,,0.7006789
34,1797.0,Normal,,,0.7197758
35,1797.0,Normal,,,0.6742343
36,1797.0,Normal,,,0.7207217
37,1797.0,Normal,,,0.70430845
38,1797.0,Normal,,,0.7192175
39,1797.0,Normal,,,0.74670905
40,1797.0,Normal,,,0.76641923
41,1797.0,Normal,6,,0.7662749
42,1797.0,OR,6,7,0.03365375
43,1797.0,OR,6,7,0.07260269
44,1797.0,OR,6,7,0.07584491
45,1797.0,OR,,7,0.09811486
46,1797.0,OR,6,7,0.088422425
47,1797.0,IR,,14,0.19468519
48,1797.0,IR,,14,0.20348981
49,1797.0,IR,,14,0.25197127
50,1797.0,IR,,14,0.21607284
51,1797.0,IR,6,14,0.21536767
52,1797.0,OR,6,14,0.4875715
53,1797.0,OR,6,14,0.43545526
54,1797.0,OR,6,14,0.43611717
55,1797.0,OR,12,14,0.37825873
56,1797.0,OR,6,14,0.39649343
57,1797.0,OR,12,7,0.24351045
58,1797.0,OR,12,7,0.26739776
59,1797.0,OR,12,7,0.27738363
60,1797.0,OR,12,7,0.2726598
61,1797.0,OR,,7,0.25530726
62,1797.0,IR,,7,0.23528352
63,1797.0,IR,,7,0.24480556
64,1797.0,IR,,7,0.24613476
65,1797.0,IR,,7,0.28015217
66,1730.0,B,,14,0.19134873
67,1730.0,B,,14,0.19143334
68,1730.0,B,,14,0.22719727
69,1730.0,B,,14,0.17616251
70,1730.0,B,3,14,0.15115012
71,1730.0,OR,3,7,0.15284693
72,1730.0,OR,3,7,0.18232545
73,1730.0,OR,3,7,0.17161947
74,1730.0,OR,3,7,0.16901703
75,1730.0,OR,3,14,0.18215951
76,1730.0,OR,3,14,0.15596403
77,1730.0,OR,3,14,0.19194216
78,1730.0,OR,3,14,0.15556791
79,1730.0,OR,3,21,0.2714434
80,1730.0,OR,3,21,0.31333596
81,1730.0,OR,3,21,0.24984162
82,1730.0,OR,,21,0.25390175
83,1730.0,OR,3,21,0.23516278
84,1730.0,IR,,7,0.27419877
85,1730.0,IR,,7,0.29585844
86,1730.0,IR,,7,0.2715638
87,1730.0,IR,,7,0.28824845
88,1730.0,Normal,,,0.65991855
89,1730.0,Normal,,,0.67207503
90,1730.0,Normal,,,0.73549485
91,1730.0,Normal,,,0.69849664
92,1730.0,Normal,,,0.6508839
93,1730.0,Normal,,,0.6993178
94,1730.0,Normal,,,0.63149893
95,1730.0,Normal,,,0.7103667
96,1730.0,Normal,,,0.6651137
97,1730.0,Normal,,,0.7325256
98,1730.0,Normal,,,0.6516219
99,1730.0,Normal,,,0.6498879
100,1730.0,Normal,,,0.6812294
101,1730.0,Normal,,,0.6490579
102,1730.0,Normal,,,0.67265445
103,1730.0,Normal,,,0.6456559
104,1730.0,Normal,,,0.6573481
105,1730.0,Normal,,,0.73951435
106,1730.0,IR,,14,0.21200007
107,1730.0,IR,,14,0.18842715
108,1730.0,IR,,14,0.18138236
109,1730.0,IR,,14,0.1843415
110,1730.0,IR,12,14,0.18284333
111,1730.0,OR,12,7,0.14926279
112,1730.0,OR,12,7,0.123953566
113,1730.0,OR,12,7,0.1604847
114,1730.0,OR,12,7,0.18308999
115,1730.0,OR,,7,0.16232255
116,1730.0,B,,7,0.35337433
117,1730.0,B,,7,0.4466864
118,1730.0,B,,7,0.3198714
119,1730.0,B,,7,0.39395562
120,1730.0,B,,21,0.2590906
121,1730.0,B,,21,0.16600984
122,1730.0,B,,21,0.25281096
123,1730.0,B,,21,0.27224642
124,1730.0,B,6,21,0.24920262
125,1730.0,OR,6,7,0.058344424
126,1730.0,OR,6,7,0.077457204
127,1730.0,OR,6,7,0.121019654
128,1730.0,OR,,7,0.077858955
129,1730.0,OR,6,7,0.08726539
130,1730.0,IR,,21,0.17897904
131,1730.0,IR,,21,0.19937111
132,1730.0,IR,,21,0.22803079
133,1730.0,IR,,21,0.23578753
134,1730.0,IR,3,21,0.21776491
135,1772.0,OR,3,14,0.18307127
136,1772.0,OR,3,14,0.16714583
137,1772.0,OR,3,14,0.18356061
138,1772.0,OR,12,14,0.1581031
139,1772.0,OR,3,14,0.158223
140,1772.0,OR,12,7,0.23159689
141,1772.0,OR,12,7,0.101860076
142,1772.0,OR,12,7,0.20729932
143,1772.0,OR,12,7,0.25906697
144,1772.0,OR,3,7,0.27820444
145,1772.0,OR,3,7,0.19216052
146,1772.0,OR,3,7,0.18826158
147,1772.0,OR,3,7,0.20617892
148,1772.0,OR,,7,0.21488088
149,1772.0,OR,3,7,0.20543933
150,1772.0,B,,21,0.31786388
151,1772.0,B,,21,0.08326134
152,1772.0,B,,21,0.070830405
153,1772.0,B,,21,0.34320688
154,1772.0,B,6,21,0.32758996
155,1772.0,OR,6,7,0.0788638
156,1772.0,OR,6,7,0.09838797
157,1772.0,OR,6,7,0.10412869
158,1772.0,OR,,7,0.10697492
159,1772.0,OR,6,7,0.08180085
160,1772.0,B,,14,0.15190443
161,1772.0,B,,14,0.1708621
162,1772.0,B,,14,0.10590424
163,1772.0,B,,14,0.17033824
164,1772.0,Normal,,,0.717547
165,1772.0,Normal,,,0.6395042
166,1772.0,Normal,,,0.69194764
167,1772.0,Normal,,,0.7203028
168,1772.0,Normal,,,0.7630377
169,1772.0,Normal,,,0.68105745
170,1772.0,Normal,,,0.76681715
171,1772.0,Normal,,,0.71644914
172,1772.0,Normal,,,0.7014551
173,1772.0,Normal,,,0.65493923
174,1772.0,Normal,,,0.75429624
175,1772.0,Normal,,,0.72031677
176,1772.0,Normal,,,0.77045035
177,1772.0,Normal,,,0.6978581
178,1772.0,Normal,,,0.68602425
179,1772.0,Normal,,,0.7503733
180,1772.0,Normal,,,0.7155651
181,1772.0,Normal,,,0.70743686
182,1772.0,B,,7,0.37905222
183,1772.0,B,,7,0.15597358
184,1772.0,B,,7,0.4540011
185,1772.0,B,,7,0.39659247
186,1772.0,B,3,7,0.37071055
187,1772.0,OR,3,21,0.27011687
188,1772.0,OR,3,21,0.29479167
189,1772.0,OR,3,21,0.26220477
190,1772.0,OR,,21,0.25169468
191,1772.0,OR,3,21,0.2552771
192,1772.0,IR,,7,0.33115947
193,1772.0,IR,,7,0.30558679
194,1772.0,IR,,7,0.2975687
195,1772.0,IR,,7,0.32077888
196,1772.0,IR,,14,0.20528938
197,1772.0,IR,,14,0.22537282
198,1772.0,IR,,14,0.23216754
199,1772.0,IR,,14,0.18727957
200,1772.0,IR,,21,0.27346766
201,1772.0,IR,,21,0.22033462
202,1772.0,IR,,21,0.26624823
203,1772.0,IR,,21,0.2404939
204,1750.0,B,,7,0.44832882
205,1750.0,B,,7,0.44574484
206,1750.0,B,,7,0.20139152
207,1750.0,B,,7,0.46643516
208,1750.0,B,6,7,0.47400048
209,1750.0,OR,6,7,0.08569063
210,1750.0,OR,6,7,0.08748384
211,1750.0,OR,6,7,0.092553034
212,1750.0,OR,3,7,0.049122058
213,1750.0,OR,6,7,0.06030941
214,1750.0,OR,3,21,0.20871869
215,1750.0,OR,3,21,0.2351977
216,1750.0,OR,3,21,0.24341339
217,1750.0,OR,12,21,0.2234603
218,1750.0,OR,3,21,0.22084156
219,1750.0,OR,12,7,0.23874477
220,1750.0,OR,12,7,0.23487002
221,1750.0,OR,12,7,0.22147658
222,1750.0,OR,12,7,0.18202356
223,1750.0,OR,3,7,0.16259527
224,1750.0,OR,3,14,0.16087325
225,1750.0,OR,3,14,0.18011336
226,1750.0,OR,3,14,0.16134793
227,1750.0,OR,,14,0.13842498
228,1750.0,OR,3,14,0.15854698
229,1750.0,B,,14,0.15707749
230,1750.0,B,,14,0.12974179
231,1750.0,B,,14,0.13141821
232,1750.0,B,,14,0.14497295
233,1750.0,B,,14,0.17972445
234,1750.0,IR,,7,0.29280856
235,1750.0,IR,,7,0.2508493
236,1750.0,IR,,7,0.30572855
237,1750.0,IR,,7,0.29881975
238,1750.0,IR,,14,0.20583893
239,1750.0,IR,,14,0.2282409
240,1750.0,IR,,14,0.18573298
241,1750.0,IR,,14,0.2232265
242,1750.0,IR,3,14,0.18874641
243,1750.0,OR,3,7,0.17172217
244,1750.0,OR,3,7,0.196964
245,1750.0,OR,3,7,0.17696953
246,1750.0,OR,,7,0.20763977
247,1750.0,OR,3,7,0.1873549
248,1750.0,B,,21,0.1947132
249,1750.0,B,,21,0.24620883
250,1750.0,B,,21,0.2665496
251,1750.0,B,,21,0.15025333
252,1750.0,IR,,21,0.1526833
253,1750.0,IR,,21,0.1974437
254,1750.0,IR,,21,0.20384386
255,1750.0,IR,,21,0.18673253
256,1750.0,Normal,,,0.72108537
257,1750.0,Normal,,,0.70346314
258,1750.0,Normal,,,0.77648693
259,1750.0,Normal,,,0.780407
260,1750.0,Normal,,,0.80656683
261,1750.0,Normal,,,0.7625854
262,1750.0,Normal,,,0.711367
263,1750.0,Normal,,,0.7638972
264,1750.0,Normal,,,0.71995175
265,1750.0,Normal,,,0.72352934
266,1750.0,Normal,,,0.7415188
267,1750.0,Normal,,,0.7893345
268,1750.0,Normal,,,0.74012405
269,1750.0,Normal,,,0.6947784
270,1750.0,Normal,,,0.7933573
271,1750.0,Normal,,,0.7229097
272,1750.0,Normal,,,0.73243797
273,1750.0,Normal,,,0.75093645
