freq,load,speed,pearsonr
35,0,2090,-0.51236653
35,0,2090,0.19177747
35,0,2090,0.20307238
35,0,2090,-0.17244568
35,0,2090,0.19449244
35,0,2090,-0.14638671
35,0,2090,-0.3541541
35,0,2090,-0.01584323
35,0,2090,-0.39303327
35,0,2090,0.2712972
35,0,2090,0.24568784
35,0,2090,-0.092037655
35,0,2090,-0.3976509
35,0,2090,0.25466248
35,0,2090,0.31835806
35,0,2090,0.27191308
35,0,2090,0.5776402
35,0,2090,0.32013088
35,0,2090,0.31458837
35,0,2090,0.45630044
35,0,2090,0.14649348
35,0,2090,0.55197024
35,0,2090,0.87698966
35,0,2090,-0.5335941
35,0,2090,0.5290168
35,0,2090,-0.13874048
35,0,2090,-0.23676668
35,0,2090,0.2889767
35,0,2090,-0.15440263
35,0,2090,-0.20719044
35,0,2090,0.14788467
35,0,2090,0.07838182
35,0,2090,-0.6919168
35,0,2090,0.0918881
35,0,2090,0.12182237
35,0,2090,0.430915
35,0,2090,0.26530346
35,0,2090,-0.04816735
35,0,2090,-0.058629543
35,0,2090,0.2735501
35,0,2090,-0.24659568
35,0,2090,0.26796097
35,0,2090,0.31128618
35,0,2090,-0.22184193
35,0,2090,-0.11816707
35,0,2090,-0.082009286
35,0,2090,0.015957877
35,0,2090,-0.18917148
35,0,2090,0.37406233
35,0,2090,0.32543504
35,0,2090,0.16615725
35,0,2090,0.1444132
35,0,2090,0.29547924
35,0,2090,0.43779787
35,0,2090,0.9260313
35,0,2090,-0.6459661
35,0,2090,0.48685205
35,0,2090,0.3842118
35,0,2090,-0.052957505
35,0,2090,-0.09644295
35,0,2090,0.2797617
35,0,2090,-0.08332056
35,0,2090,-0.007273784
35,0,2090,-0.15824452
35,0,2090,0.24275485
35,0,2090,0.17592329
35,0,2090,0.0151832355
35,0,2090,0.018252961
35,0,2090,0.11340515
35,0,2090,0.07810975
35,0,2090,-0.14827096
35,0,2090,-0.30351156
35,0,2090,-0.53491944
35,0,2090,0.07124475
35,0,2090,0.24706197
35,0,2090,0.3196891
35,0,2090,-0.12269903
35,0,2090,0.3997827
35,0,2090,0.25351113
35,0,2090,0.071251854
35,0,2090,0.68200696
35,0,2090,0.08041622
35,0,2090,0.16250014
35,0,2090,0.012494486
35,0,2090,-0.07248841
35,0,2090,-0.008543206
35,0,2090,0.53630996
35,0,2090,0.31734014
35,0,2090,0.11825469
35,0,2090,-0.12527195
35,0,2090,-0.18884149
