epoch,train_loss,valid_loss
1,6.675506777452414e-06,5.886713444865007e-06
2,5.289894588513091e-06,5.1503000603385754e-06
3,5.05057209550179e-06,5.262940510665234e-06
4,4.794034868151071e-06,4.83719973319056e-06
5,4.649411474844782e-06,4.912235207936103e-06
6,4.516635468211346e-06,4.7807821462922495e-06
7,4.4893974081473825e-06,4.65204979028392e-06
8,4.583751782328462e-06,4.938497583267929e-06
9,4.4170862974774015e-06,4.650944661308857e-06
10,4.582710978566121e-06,4.6553785984719295e-06
11,4.418619508472873e-06,4.53966072167558e-06
12,4.4720711137752084e-06,4.654533645178345e-06
13,4.396164828973035e-06,4.559756100023661e-06
14,4.4191368478944135e-06,4.530614308959289e-06
15,4.359458976151548e-06,4.83731198184889e-06
16,4.502094826182888e-06,4.792155776668689e-06
17,4.414036715526423e-06,4.706505632443394e-06
18,4.34906319534265e-06,4.526007005093928e-06
19,4.462875412533297e-06,4.6817725273050206e-06
20,4.372966976326016e-06,4.60854406542272e-06
21,4.40937093620243e-06,4.672627077813146e-06
22,4.417904748533132e-06,4.399921171360468e-06
23,4.395563498631384e-06,4.711014464859375e-06
24,4.406449000917247e-06,4.795925246163024e-06
25,4.432009579535674e-06,4.769391577067724e-06
26,4.442222435933682e-06,4.6761313046281826e-06
27,4.340238191235599e-06,4.6545097130357465e-06
28,4.331039099662528e-06,4.581253801425584e-06
29,4.4590304979575885e-06,4.4831679673302625e-06
30,4.369148675152319e-06,4.635459622837228e-06
31,4.354950142651529e-06,4.471181607101676e-06
32,4.140912334828469e-06,4.5016269357003965e-06
33,4.343547970639169e-06,4.672757333157946e-06
34,4.493293059098669e-06,4.3760784968680184e-06
35,4.2654258672398905e-06,4.646813738990656e-06
36,4.39558591248739e-06,4.716474531895126e-06
37,4.324508108024969e-06,4.326637181882217e-06
38,4.385052048931593e-06,4.537444287013236e-06
39,4.329325482588572e-06,4.668224840793464e-06
40,4.37000669402357e-06,4.436486407364015e-06
41,4.376486356326398e-06,4.643559721365517e-06
42,4.305544095350499e-06,4.464609627176425e-06
43,4.359377677963594e-06,4.755455678958687e-06
44,4.339054763356843e-06,4.48520636611464e-06
45,4.3498091937658e-06,4.8422243524838585e-06
46,4.302149076324603e-06,4.2676565944210445e-06
47,4.247189757270401e-06,4.215685465614305e-06
48,4.110321160510793e-06,4.359361193839648e-06
49,4.040221689819882e-06,4.5414855318452175e-06
50,4.219190316725243e-06,4.6223210649926675e-06
51,4.143084288400188e-06,4.301590006631001e-06
52,3.967171152109372e-06,4.298459544188256e-06
53,4.04932457551428e-06,4.3069850402153865e-06
54,3.9903845542381954e-06,4.420458760427432e-06
55,4.091091090552098e-06,4.326572064678821e-06
56,4.080004289097573e-06,4.073327952466583e-06
57,3.945595321787051e-06,4.280780872544475e-06
58,3.993191922838913e-06,4.4467994648454e-06
59,3.895372895299334e-06,4.286848497744516e-06
60,4.047172984857494e-06,4.4830935955275415e-06
61,4.02556510683692e-06,4.389502083808988e-06
62,3.977668398693436e-06,4.165721349518665e-06
63,3.981130373271759e-06,3.9174440467609565e-06
64,3.9267541562972285e-06,4.350887749699219e-06
65,4.114588931698909e-06,4.3929033584410336e-06
66,4.002280131050261e-06,4.294902637346293e-06
67,3.960953354520754e-06,4.164385337134649e-06
68,3.917436514749377e-06,4.081628176470776e-06
69,3.928558482169705e-06,4.1618305233327285e-06
70,3.841814194597868e-06,4.248529242974766e-06
71,4.122900795930423e-06,4.015000944910236e-06
72,3.941605969337516e-06,4.100123597912008e-06
73,4.029569025153664e-06,3.96954742002321e-06
74,3.83545792360691e-06,4.192977128617412e-06
75,3.7932229289818066e-06,4.0317285285003e-06
76,3.896134380420379e-06,4.082452045190785e-06
77,3.851108906066451e-06,3.905323662346216e-06
78,3.8122705768008937e-06,3.889279055623538e-06
79,3.8130221071841475e-06,3.7601140994417796e-06
80,3.7123528645130114e-06,3.958034028446556e-06
81,3.8028296625330036e-06,4.247606002471055e-06
82,3.6996588647126264e-06,3.988967526690673e-06
83,3.911114335421755e-06,3.9259767245246675e-06
84,3.7501421792759478e-06,3.716581825187041e-06
85,3.7624280208749437e-06,3.6580342147834332e-06
86,3.6717411199868553e-06,3.916897679923652e-06
87,3.7223555273550528e-06,3.902437064877088e-06
88,3.671991683597197e-06,3.731629594309564e-06
89,3.625144987522909e-06,4.047137436376576e-06
90,3.573750287764514e-06,3.864630916919693e-06
91,3.580515547099676e-06,3.897412026823639e-06
92,3.568571236021174e-06,3.6369584561091103e-06
93,3.4775482807647746e-06,3.5833862606811225e-06
94,3.5427375962245184e-06,3.8015199515285143e-06
95,3.5283462543349465e-06,3.7230805011479545e-06
96,3.555784364865355e-06,3.6155666172732233e-06
97,3.6753205981414517e-06,3.5920728746761415e-06
98,3.653058672222476e-06,4.019674643197452e-06
99,3.6408735778716714e-06,3.4218468735155336e-06
100,3.5967240925393427e-06,3.69088259850555e-06
