epoch,train_loss,valid_loss
1,6.7558506290403335e-06,5.5391891908047976e-06
2,5.871091957814806e-06,5.603962445551221e-06
3,4.806445935747317e-06,4.861191528172587e-06
4,4.6841028640457465e-06,5.063104460840013e-06
5,4.723827423086284e-06,4.9131257851480794e-06
6,4.656122161009843e-06,4.383929056222651e-06
7,4.493129179140594e-06,4.992047416903882e-06
8,4.542460241524658e-06,4.7583010285529945e-06
9,4.634061631923389e-06,4.508299041177622e-06
10,4.324085983891515e-06,4.653374538019889e-06
11,4.541274720848889e-06,4.720635332750063e-06
12,4.542466352491935e-06,4.64301604506218e-06
13,4.594113318002243e-06,4.913684620568864e-06
14,4.50459977166329e-06,4.622677534570743e-06
15,4.4533427291164e-06,4.671253837651754e-06
16,4.594669116056888e-06,4.7193189811551095e-06
17,4.55482442349183e-06,4.598594428937909e-06
18,4.499056405815977e-06,4.756748140287056e-06
19,4.623097963669103e-06,4.676828016828505e-06
20,4.485763559126396e-06,4.731487146103018e-06
21,4.715165929209838e-06,4.751040648816408e-06
22,4.365043723571792e-06,4.875054394511386e-06
23,4.4123768135757935e-06,4.553223713870636e-06
24,4.399247930556168e-06,4.7138139602172075e-06
25,4.442148609031063e-06,5.009528454694656e-06
26,4.241213133609528e-06,4.460451799518556e-06
27,4.3648817620109784e-06,4.4019655165389825e-06
28,4.374457696566138e-06,4.483054902089639e-06
29,4.211035412269683e-06,4.726620420324449e-06
30,4.4370761573915605e-06,4.683478744600048e-06
31,4.351413685427523e-06,4.685845221024301e-06
32,4.345299837066527e-06,4.5056513463743295e-06
33,4.3541809141815376e-06,4.412686341716874e-06
34,4.13264585638817e-06,4.2336475122519e-06
35,4.144734061213276e-06,4.510148055683955e-06
36,4.176856918784603e-06,4.164470492011244e-06
37,4.133438419544853e-06,4.231605260874138e-06
38,4.261876630002128e-06,4.6329095200869996e-06
39,3.909190873591335e-06,4.408712119446974e-06
40,4.164320632167096e-06,4.2517603962956895e-06
41,3.948334290805404e-06,4.2695909941220565e-06
42,4.128304725688769e-06,4.3172397225317984e-06
43,4.160873955934936e-06,4.507364347583795e-06
44,3.957891997098583e-06,4.234931493687222e-06
45,4.084192687470988e-06,4.229106560932378e-06
46,3.93633200924965e-06,4.219761572228811e-06
47,4.05205574886376e-06,4.127245687832721e-06
48,3.882410312906329e-06,4.155818090720518e-06
49,4.019993795173498e-06,4.002314333958055e-06
50,4.145562243775116e-06,4.199406353207372e-06
51,4.062633536740859e-06,4.339796908052384e-06
52,4.127302959566705e-06,4.30816952423896e-06
53,3.80394881363951e-06,3.92527059022096e-06
54,4.088795403844998e-06,4.1346002676651525e-06
55,3.85160609882875e-06,3.877465036134872e-06
56,3.963934376441596e-06,4.219887619034099e-06
57,3.835338201665803e-06,4.1636153628460045e-06
58,4.007708497701726e-06,4.058445342347401e-06
59,3.875335068477644e-06,4.120682795002735e-06
60,3.877394562113891e-06,3.865472247937976e-06
61,3.793110203958712e-06,4.011027518284621e-06
62,3.906894112581767e-06,4.52952377377547e-06
63,3.864157823312221e-06,4.395979947390423e-06
64,3.762623505555906e-06,3.732267010072581e-06
65,3.8640369852127065e-06,4.116731751107162e-06
66,3.753901170582304e-06,3.832893524814746e-06
67,3.6700016289658323e-06,3.7191622042961473e-06
68,3.7073273473345135e-06,3.851026048709591e-06
69,3.7102661540516145e-06,4.017303748853612e-06
70,3.7248874071330073e-06,3.6779935798346462e-06
71,3.6121950177199004e-06,3.795642757506894e-06
72,3.6723235663234625e-06,3.6818726388603554e-06
73,3.6007907738384976e-06,3.943128951845302e-06
74,3.7377629500982546e-06,3.7136903701001686e-06
75,3.5498995801133896e-06,3.7920075948618138e-06
76,3.654724726996323e-06,3.893759977675492e-06
77,3.6717834293664625e-06,4.018488840079404e-06
78,3.669062318882618e-06,3.846926261208577e-06
79,3.496323195277166e-06,3.475082972046765e-06
80,3.6443081716890783e-06,3.94658684284969e-06
81,3.678665850454386e-06,3.532241136271158e-06
82,3.5311178919146674e-06,3.9362048993235545e-06
83,3.5751375819762683e-06,3.7572451736510016e-06
84,3.5186671100071098e-06,3.7657758832420057e-06
85,3.594241177235495e-06,3.635777531546815e-06
86,3.526788480878537e-06,3.6893395929791625e-06
87,3.5923285491176105e-06,3.4486990934572844e-06
88,3.3741130301378818e-06,3.731023124921665e-06
89,3.5789219449584086e-06,3.4644964432491246e-06
90,3.4762961393841012e-06,3.3409186268707724e-06
91,3.5921567304828673e-06,3.36812283565699e-06
92,3.53830804485133e-06,3.637030964429162e-06
93,3.6095953034147735e-06,3.6181601035750385e-06
94,3.5003590217723635e-06,3.5766732842132127e-06
95,3.5916884601752836e-06,3.546350254516432e-06
96,3.4727085830330357e-06,3.4624596357533186e-06
97,3.4367992766585454e-06,3.4168299384709957e-06
98,3.3299074578456124e-06,3.5024575952762106e-06
99,3.4750945530032645e-06,3.742693111856582e-06
100,3.481104731176241e-06,3.3199158162146593e-06
