epoch,train_loss,valid_loss
1,7.158045879708494e-06,5.956772018036396e-06
2,5.498369951156072e-06,5.076526498368425e-06
3,5.211975151576523e-06,4.795707093062643e-06
4,4.91401275833274e-06,5.173368175118733e-06
5,4.977618649620688e-06,5.271815294533861e-06
6,4.928536302209604e-06,5.280756284382275e-06
7,5.0698855145895105e-06,5.614357307827998e-06
8,4.840615827836675e-06,4.837485118233096e-06
9,4.565766054593573e-06,4.907548402456178e-06
10,4.7299106887069354e-06,4.700822889697638e-06
11,4.5336128933215025e-06,4.740793231988607e-06
12,4.5216562626445855e-06,4.504158864260095e-06
13,4.702775245456495e-06,4.449420840573236e-06
14,4.440402037380147e-06,4.5237534682822525e-06
15,4.571209998630802e-06,4.875538837191441e-06
16,4.403950291971943e-06,5.162306793248482e-06
17,4.60636476797033e-06,4.7950509377828925e-06
18,4.611711355090527e-06,4.7331164790344215e-06
19,4.563840339518369e-06,4.445640064554839e-06
20,4.472331129852058e-06,4.798858598202949e-06
21,4.489781813102677e-06,4.762372633495884e-06
22,4.3590082783628815e-06,4.721277166432667e-06
23,4.7843519358606415e-06,4.853276542568807e-06
24,4.338305283914662e-06,4.9183873179964985e-06
25,4.333921718267833e-06,4.510901928644815e-06
26,4.34198044474868e-06,5.003772093914449e-06
27,4.395174894130084e-06,4.642628503480939e-06
28,4.4002555565098666e-06,5.0505385575012014e-06
29,4.460613622161813e-06,4.7793775200575806e-06
30,4.458328587791506e-06,4.598513587290863e-06
31,4.310970194805199e-06,4.795798550279503e-06
32,4.374387504154332e-06,4.216480774892052e-06
33,4.346363780187838e-06,4.4318190532930785e-06
34,4.37573094729268e-06,4.866309384413385e-06
35,4.377533075728294e-06,4.745301855024513e-06
36,4.54255616138774e-06,4.7900628343747136e-06
37,4.315524190864753e-06,4.836019960218679e-06
38,4.463325956850183e-06,4.253744021252387e-06
39,4.404349444170187e-06,4.87114022244706e-06
40,4.3416100475813905e-06,4.4609655344711365e-06
41,4.2551805724881855e-06,4.817792294017649e-06
42,4.310999200971795e-06,4.378597716057151e-06
43,4.384134706241023e-06,4.463170243849268e-06
44,4.465861666446671e-06,4.699219813027667e-06
45,4.335528825925822e-06,4.137683996475108e-06
46,4.363871192189482e-06,4.913353716297973e-06
47,4.489811272708626e-06,4.5762946971578245e-06
48,4.293848157421465e-06,4.508423119810202e-06
49,4.304875007217566e-06,4.757754588432664e-06
50,4.444601129946296e-06,4.697927142319223e-06
51,4.1548646637126944e-06,4.199070926326856e-06
52,4.357847996819086e-06,4.6291702850755276e-06
53,4.46254156955383e-06,4.311714873300772e-06
54,4.401965294933359e-06,4.803474256333312e-06
55,4.524899379487309e-06,4.7309039807174915e-06
56,4.5142863035645814e-06,4.21565583833366e-06
57,4.275601785770624e-06,4.493445660516941e-06
58,4.4514932476603785e-06,4.266834358865623e-06
59,4.175793443054625e-06,4.465281381271779e-06
60,4.003907036567991e-06,4.646589765124184e-06
61,4.2961660487048705e-06,4.496156755607012e-06
62,4.290759070438877e-06,4.365816632815027e-06
63,4.217450232745067e-06,4.582096242158265e-06
64,4.4030456455832494e-06,4.8683767614001745e-06
65,4.250993973920202e-06,4.673993513122094e-06
66,4.482939559765417e-06,4.62340337153953e-06
67,4.325228092981251e-06,4.658900434151292e-06
68,4.6012053187590086e-06,4.590809070538703e-06
69,4.3014037755004566e-06,4.734007579696586e-06
70,4.4373776317772314e-06,4.328463164580276e-06
71,4.41887102081786e-06,4.9784447471845704e-06
72,4.423654743205499e-06,4.729046926016269e-06
73,4.532396950353159e-06,4.356444571267733e-06
74,4.332287990231842e-06,4.9175804928146146e-06
75,4.227147249559393e-06,4.499849885125919e-06
76,4.024040434453262e-06,4.4014523887886205e-06
77,4.5555292914776905e-06,4.627831822944631e-06
78,4.273917865486278e-06,4.465789400148306e-06
79,4.3604178399348514e-06,4.313972325519853e-06
80,4.308711920332696e-06,4.724094626600955e-06
81,4.280704248119288e-06,4.668740606732773e-06
82,4.410667689039424e-06,4.691906376380018e-06
83,4.297124096297338e-06,4.567815285685251e-06
84,4.296029828547313e-06,4.803726182439827e-06
85,4.441176860594152e-06,4.492767017817111e-06
86,4.361447537921044e-06,4.513107580233285e-06
87,4.258653855146367e-06,4.577190781065778e-06
88,4.364624131722724e-06,4.528479511588276e-06
89,4.270314250406135e-06,4.524524280091198e-06
90,4.289482220101473e-06,4.158930734918861e-06
91,4.396890973728525e-06,4.361268792891031e-06
92,4.208611311537883e-06,4.362429554152082e-06
93,4.2272580352572554e-06,4.220685692128839e-06
94,4.334103735800018e-06,4.879209395538239e-06
95,4.3785203108630985e-06,4.762320707237228e-06
96,4.3251904575149724e-06,4.387546034208197e-06
97,4.244664469803036e-06,4.423083988748652e-06
98,4.081860488432005e-06,4.272019719242674e-06
99,4.221386037495037e-06,4.9854370366728345e-06
100,4.388396715261363e-06,4.419116361951121e-06
