params,val_loss
"(512, 2048, 64, 1, 8193, 2, 0.1, 1e-05)",3.7806761314471564
"(512, 2048, 64, 1, 8193, 2, 0.1, 1e-05)",4.6102036734422045
"(512, 2048, 64, 1, 8193, 2, 0.1, 1e-05)",4.886520028114319
"(512, 2048, 64, 1, 8193, 2, 0.1, 1e-05)",4.834341595570247
"(512, 2048, 64, 1, 8193, 2, 0.1, 1e-05)",4.836952477693558
"(512, 2048, 64, 1, 8193, 2, 0.1, 1e-05)",4.83327329158783
"(512, 2048, 64, 1, 8193, 2, 0.1, 1e-05)",4.832491507132848
"(512, 2048, 64, 1, 8193, 2, 0.1, 1e-05)",4.83219413459301
"(512, 2048, 64, 1, 8193, 2, 0.1, 1e-05)",4.853228539228439
"(512, 2048, 64, 1, 8193, 2, 0.1, 1e-05)",4.830542474985123
"(512, 2048, 64, 1, 8193, 2, 0.1, 0.0001)",4.852153306206067
"(512, 2048, 64, 1, 8193, 2, 0.1, 0.0001)",4.833044717709224
"(512, 2048, 64, 1, 8193, 2, 0.1, 0.0001)",33.57349809010824
"(512, 2048, 64, 1, 8193, 2, 0.1, 0.0001)",21.087899883588154
"(512, 2048, 64, 1, 8193, 2, 0.1, 0.0001)",19.230161150296528
"(512, 2048, 64, 1, 8193, 2, 0.1, 0.0001)",5.098508407672246
"(512, 2048, 64, 1, 8193, 2, 0.1, 0.0001)",5.16974691549937
"(512, 2048, 64, 1, 8193, 2, 0.1, 0.0001)",4.853530307610829
"(512, 2048, 64, 1, 8193, 2, 0.1, 0.0001)",5.034560720125834
"(512, 2048, 64, 1, 8193, 2, 0.1, 0.0001)",5.680990392963092
"(512, 2048, 64, 1, 8193, 4, 0.1, 1e-05)",4.322934577862422
"(512, 2048, 64, 1, 8193, 4, 0.1, 1e-05)",3.6993027379115424
"(512, 2048, 64, 1, 8193, 4, 0.1, 1e-05)",4.816220045089722
"(512, 2048, 64, 1, 8193, 4, 0.1, 1e-05)",4.821903586387634
"(512, 2048, 64, 1, 8193, 4, 0.1, 1e-05)",4.827425921956698
"(512, 2048, 64, 1, 8193, 4, 0.1, 1e-05)",4.822733481725057
"(512, 2048, 64, 1, 8193, 4, 0.1, 1e-05)",4.820969939231873
"(512, 2048, 64, 1, 8193, 4, 0.1, 1e-05)",4.821699420611064
"(512, 2048, 64, 1, 8193, 4, 0.1, 1e-05)",4.821913460890452
"(512, 2048, 64, 1, 8193, 4, 0.1, 1e-05)",4.821970408161481
"(512, 2048, 64, 1, 8193, 4, 0.1, 0.0001)",4.827721099058787
"(512, 2048, 64, 1, 8193, 4, 0.1, 0.0001)",4.823645104964574
"(512, 2048, 64, 1, 8193, 4, 0.1, 0.0001)",4.82311608393987
"(512, 2048, 64, 1, 8193, 4, 0.1, 0.0001)",4.821308160821597
"(512, 2048, 64, 1, 8193, 4, 0.1, 0.0001)",4.82061904668808
"(512, 2048, 64, 1, 8193, 4, 0.1, 0.0001)",4.820076202352841
"(512, 2048, 64, 1, 8193, 4, 0.1, 0.0001)",4.819743067026138
"(512, 2048, 64, 1, 8193, 4, 0.1, 0.0001)",4.819776823123296
"(512, 2048, 64, 1, 8193, 4, 0.1, 0.0001)",4.819949646790822
