epoch,train_loss,valid_loss
1,5.789715885092937e-07,5.666641006150216e-07
2,5.637009901830216e-07,5.680251533377645e-07
3,5.633420943990951e-07,5.712041547700432e-07
4,5.632513639108497e-07,5.683302385391176e-07
5,5.634715530451199e-07,5.722934165882358e-07
6,5.630144257902479e-07,5.746739749623184e-07
7,5.634666757802069e-07,5.672552342618261e-07
8,5.631422023517798e-07,5.729664868401792e-07
9,5.632011280492836e-07,5.685650292608783e-07
10,5.634109852578164e-07,5.672247485532289e-07
11,5.633511125431173e-07,5.74934811054281e-07
12,5.637208851804734e-07,5.683298950474614e-07
13,5.631053333978481e-07,5.718085992129924e-07
14,5.631466854931658e-07,5.676650336527357e-07
15,5.630647797680091e-07,5.660370473666644e-07
16,5.638572385709601e-07,5.703622178225948e-07
17,5.632013702149522e-07,5.672311285316478e-07
18,5.633845579952769e-07,5.671657942429861e-07
19,5.631741675607957e-07,5.678977334267279e-07
20,5.629077662068777e-07,5.69647878465648e-07
21,5.632638347835349e-07,5.687982386683641e-07
22,5.630899960923294e-07,5.666779268134736e-07
23,5.633055146375592e-07,5.717229639740899e-07
24,5.633192047990037e-07,5.728279034503187e-07
25,5.628903848868695e-07,5.766378779575219e-07
26,5.633770055908286e-07,5.694304063822154e-07
27,5.632684112092459e-07,5.728012004353432e-07
28,5.630439397860592e-07,5.677566028583387e-07
29,5.628191981789434e-07,5.703383899844186e-07
30,5.636788848744651e-07,5.672902941452991e-07
31,5.633484728384404e-07,5.742826875300777e-07
32,5.635636546701076e-07,5.674748052045435e-07
33,5.633039110041949e-07,5.705492585891032e-07
34,5.628809819587404e-07,5.769505997497635e-07
35,5.630594088323386e-07,5.6766297072492e-07
36,5.637785417606649e-07,5.661159510591522e-07
37,5.632221917378131e-07,5.693626409505941e-07
38,5.630601321429543e-07,5.683756661347563e-07
39,5.633353393613699e-07,5.683035431060117e-07
40,5.635381848629389e-07,5.749882909250485e-07
41,5.632148495252542e-07,5.673106185004415e-07
42,5.628976667228245e-07,5.747107925209452e-07
43,5.631721376103741e-07,5.674629613353372e-07
44,5.629966306789927e-07,5.711950433407004e-07
45,5.630109535037404e-07,5.691204714215102e-07
46,5.630954492148966e-07,5.670576701900026e-07
47,5.630520903528943e-07,5.692486264442484e-07
48,5.631104730455274e-07,5.658284032165819e-07
49,5.632100492830879e-07,5.682913916766182e-07
50,5.633493793665028e-07,5.764173675222711e-07
51,5.633152565316991e-07,5.71646013272309e-07
52,5.630962474056861e-07,5.725302763362727e-07
