Labeled Percentage,Init Type,Downstream,Seeds,Test Loss,Test F1 Score
0.05,scratch,frozen,0.0,2.327406731518832,0.0713715117034141
0.05,scratch,frozen,1.0,2.3148773475126787,0.0199549880317753
0.05,scratch,frozen,2.0,2.2941693501038984,0.0168924213471872
0.05,scratch,frozen,3.0,2.28115433996374,0.0634426060472298
0.05,scratch,frozen,4.0,2.2859563285654243,0.0315679311769544
0.05,scratch,finetune,0.0,2.0008465051651,0.1875395014709234
0.05,scratch,finetune,1.0,1.9526851068843487,0.1870100330264558
0.05,scratch,finetune,2.0,2.032980442047119,0.2692188769521617
0.05,scratch,finetune,3.0,1.9579915729436008,0.3523732433766183
0.05,scratch,finetune,4.0,2.0386266058141533,0.0369688463360829
0.05,pretrain,frozen,0.0,2.2648716189644555,0.0973435823620881
0.05,pretrain,frozen,1.0,2.2334695729342373,0.119554811046793
0.05,pretrain,frozen,2.0,2.2811741720546377,0.0198314786267634
0.05,pretrain,frozen,3.0,2.291280605576255,0.0202380724617852
0.05,pretrain,frozen,4.0,2.2577552036805586,0.2475818331251531
0.05,pretrain,finetune,0.0,1.9535693688826128,0.2205018427884802
0.05,pretrain,finetune,1.0,1.932254829189994,0.3111499881875172
0.05,pretrain,finetune,2.0,1.9997441118413752,0.3231969578115784
0.05,pretrain,finetune,3.0,1.9742134105075488,0.264292224414182
0.05,pretrain,finetune,4.0,2.039880492470481,0.0515142684331503
0.1,scratch,frozen,0.0,2.283532034267078,0.0351608505052036
0.1,scratch,frozen,1.0,2.297171202572909,0.0085141282268908
0.1,scratch,frozen,2.0,2.3057681647214023,0.0076784705365812
0.1,scratch,frozen,3.0,2.281485189091076,0.1685737427495922
0.1,scratch,frozen,4.0,2.300384911623868,0.0067808106173934
0.1,scratch,finetune,0.0,1.8456884622573853,0.0731017137250675
0.1,scratch,finetune,1.0,1.871998824856498,0.3129423785470411
0.1,scratch,finetune,2.0,1.7800191857598044,0.2578709922608441
0.1,scratch,finetune,3.0,1.8629678975452075,0.2104727143642223
0.1,scratch,finetune,4.0,1.8143318403850903,0.2566488358912296
0.1,pretrain,frozen,0.0,2.24326520616358,0.0345599171229162
0.1,pretrain,frozen,1.0,2.282257101752541,0.0172833997718318
0.1,pretrain,frozen,2.0,2.256709337234497,0.0280710925390453
0.1,pretrain,frozen,3.0,2.246214433149858,0.0752845543607674
0.1,pretrain,frozen,4.0,2.175241231918335,0.0559362332050608
0.1,pretrain,finetune,0.0,1.7919623472473838,0.3549159728959673
0.1,pretrain,finetune,1.0,1.817602666941556,0.2445952690530567
0.1,pretrain,finetune,2.0,1.8278932571411133,0.4460913752948703
0.1,pretrain,finetune,3.0,1.754698720845309,0.3474822110464834
0.1,pretrain,finetune,4.0,1.72036043622277,0.3058872823745334
0.15,scratch,frozen,0.0,2.239234718409452,0.1474510699796666
0.15,scratch,frozen,1.0,2.296389764005488,0.0086015430027801
0.15,scratch,frozen,2.0,2.2790260206569326,0.0213999696684229
0.15,scratch,frozen,3.0,2.25143056566065,0.0838243154459592
0.15,scratch,frozen,4.0,2.195157993923534,0.2270346512951535
0.15,scratch,finetune,0.0,1.763827080076391,0.2054797593566457
0.15,scratch,finetune,1.0,1.7052077434279702,0.4364229221634289
0.15,scratch,finetune,2.0,1.6149467825889587,0.3343182708423469
0.15,scratch,finetune,3.0,1.700263960794969,0.3583230710091367
0.15,scratch,finetune,4.0,1.6899161718108435,0.2616881572982221
0.15,pretrain,frozen,0.0,2.2423933961174707,0.0472540564838833
0.15,pretrain,frozen,1.0,2.2322437221353706,0.0758132143216059
0.15,pretrain,frozen,2.0,2.123956561088562,0.3261834879731431
0.15,pretrain,frozen,3.0,2.1858148358084937,0.0515592927067046
0.15,pretrain,frozen,4.0,2.151368238709189,0.2570864306467688
0.15,pretrain,finetune,0.0,1.5612802668051289,0.4230767205849375
0.15,pretrain,finetune,1.0,1.6125901558182456,0.5097827069672322
0.15,pretrain,finetune,2.0,1.5753554159944707,0.4917105133712323
0.15,pretrain,finetune,3.0,1.5326439142227173,0.4818603605846556
0.15,pretrain,finetune,4.0,1.5449568737636914,0.4928301384059828
0.2,scratch,frozen,0.0,2.212725433436307,0.1055958867049914
0.2,scratch,frozen,1.0,2.250953761014072,0.0218973680071525
0.2,scratch,frozen,2.0,2.242565220052546,0.0467785928857154
0.2,scratch,frozen,3.0,2.2736045013774526,0.0380268861563283
0.2,scratch,frozen,4.0,2.2504431334408848,0.1958126928995431
0.2,scratch,finetune,0.0,1.4177201173522256,0.4771067601410025
0.2,scratch,finetune,1.0,1.5690453052520752,0.518017976398927
0.2,scratch,finetune,2.0,1.5246168700131504,0.3924975182952593
0.2,scratch,finetune,3.0,1.430963857607408,0.5915875911272735
0.2,scratch,finetune,4.0,1.4431459849531,0.531073590871144
0.2,pretrain,frozen,0.0,2.08865808356892,0.2095513093983658
0.2,pretrain,frozen,1.0,2.083701556379145,0.2396991044038343
0.2,pretrain,frozen,2.0,2.153144121170044,0.0323466309319103
0.2,pretrain,frozen,3.0,2.132363211024891,0.3080462827466804
0.2,pretrain,frozen,4.0,2.1439607360146264,0.3323127847680941
0.2,pretrain,finetune,0.0,1.3443414894017307,0.5740834463538652
0.2,pretrain,finetune,1.0,1.1685180826620625,0.6940780790739345
0.2,pretrain,finetune,2.0,1.367493049664931,0.5070001109508387
0.2,pretrain,finetune,3.0,1.320315263488076,0.6414394399186896
0.2,pretrain,finetune,4.0,1.2360595681450584,0.7870493207231104
0.25,scratch,frozen,0.0,2.208929874680259,0.244588784996292
0.25,scratch,frozen,1.0,2.234457915479487,0.068644324975618
0.25,scratch,frozen,2.0,2.221811587160284,0.1597414996265974
0.25,scratch,frozen,3.0,2.2686895457181064,0.1998397368031208
0.25,scratch,frozen,4.0,2.246118827299638,0.2802379878490572
0.25,scratch,finetune,0.0,1.1649183576757258,0.7581960933625185
0.25,scratch,finetune,1.0,1.322308431972157,0.6309624414722185
0.25,scratch,finetune,2.0,1.2467043183066628,0.7425137089716038
0.25,scratch,finetune,3.0,1.270002543926239,0.5838352749308485
0.25,scratch,finetune,4.0,1.3645469004457649,0.5342159166562636
0.25,pretrain,frozen,0.0,2.077928911555897,0.2602638538247495
0.25,pretrain,frozen,1.0,2.043484503572637,0.2077045913275342
0.25,pretrain,frozen,2.0,2.07837316122922,0.1078405172699651
0.25,pretrain,frozen,3.0,2.0294788750735195,0.0717622663973088
0.25,pretrain,frozen,4.0,2.087443156675859,0.045506666928229
0.25,pretrain,finetune,0.0,1.059519968249581,0.7525305634216616
0.25,pretrain,finetune,1.0,1.2582784674384375,0.6339970469407104
0.25,pretrain,finetune,2.0,1.1004158366810193,0.6751732313200206
0.25,pretrain,finetune,3.0,1.0148452005603097,0.8438310261035998
0.25,pretrain,finetune,4.0,1.1006069508465854,0.7934571492405149
0.5,scratch,frozen,0.0,2.1818594499067827,0.1251417597606408
0.5,scratch,frozen,1.0,2.1214589422399346,0.2512730812345835
0.5,scratch,frozen,2.0,2.132212378761985,0.211549453535503
0.5,scratch,frozen,3.0,2.2460677081888374,0.0683000966420235
0.5,scratch,frozen,4.0,2.2175792780789463,0.296326350916658
0.5,scratch,finetune,0.0,0.2873774726282466,0.995480674504422
0.5,scratch,finetune,1.0,0.2281285348263654,0.9976479579986336
0.5,scratch,finetune,2.0,0.3750859620896252,0.9844006261314048
0.5,scratch,finetune,3.0,0.3410614485090429,0.9954793486307048
0.5,scratch,finetune,4.0,0.4093556824055585,0.9379140616193496
0.5,pretrain,frozen,0.0,1.93159757419066,0.10099722343662
0.5,pretrain,frozen,1.0,1.7777488069100813,0.2823863751432351
0.5,pretrain,frozen,2.0,1.7823765223676509,0.2709602927022871
0.5,pretrain,frozen,3.0,1.818244083361192,0.3161830239296596
0.5,pretrain,frozen,4.0,1.8954858454790984,0.3106222244157826
0.5,pretrain,finetune,0.0,0.2816918925805525,0.995671362789885
0.5,pretrain,finetune,1.0,0.2946523184126073,0.9942191047322678
0.5,pretrain,finetune,2.0,0.2643465169451453,0.992222535170571
0.5,pretrain,finetune,3.0,0.3069720566272735,0.9969188856610812
0.5,pretrain,finetune,4.0,0.2121403942053968,0.9963735114088156
1.0,scratch,frozen,0.0,1.9223098754882808,0.2662090405477287
1.0,scratch,frozen,1.0,2.050713820890947,0.2502631083893219
1.0,scratch,frozen,2.0,2.035179680044001,0.3370217235945076
1.0,scratch,frozen,3.0,1.877714059569619,0.2305282389870355
